id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags,p1_involve_stakeholders_llm,p2_understand_changes_llm,p3_value_what_matters_llm,p4_only_material_llm,p5_do_not_overclaim_llm,p6_be_transparent_llm,p7_verify_result_llm,p8_be_responsive_llm,quality_total_llm,quality_pct_llm,quality_total_kw,quality_pct_kw,p1_involve_stakeholders_agent_c,p2_understand_changes_agent_c,p3_value_what_matters_agent_c,p4_only_material_agent_c,p5_do_not_overclaim_agent_c,p6_be_transparent_agent_c,p7_verify_result_agent_c,p8_be_responsive_agent_c,quality_total_agent_c,quality_pct_agent_c,sroi_ratio_llm,investment_amount_llm,currency_llm,total_social_value_llm,n_beneficiaries_llm,n_outcomes_llm,n_stakeholder_groups_llm,deadweight_pct_llm,attribution_pct_llm,drop_off_pct_llm,displacement_pct_llm,discount_rate_pct_llm,has_sensitivity_analysis_llm,has_proxy_sources_llm,has_materiality_assessment_llm,extraction_notes_llm,sroi_ratio_lpdf,investment_amount_lpdf,currency_lpdf,total_social_value_lpdf,n_beneficiaries_lpdf,n_outcomes_lpdf,n_stakeholder_groups_lpdf,deadweight_pct_lpdf,attribution_pct_lpdf,drop_off_pct_lpdf,displacement_pct_lpdf,discount_rate_pct_lpdf,has_sensitivity_analysis_lpdf,has_proxy_sources_lpdf,has_materiality_assessment_lpdf,extraction_notes_lpdf
131,vienna-university-of-economics-and-business-casa-abraham-executive-summary,Reports Database:Vienna University of Economics and Business – “Casa Abraham” Executive Summary,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-casa-abraham-executive-summary/,education,MEDIUM,Austria,LOW,2008.0,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,9.3,VERIFIED,investment of 174,3,1,1,5000,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,7.0,43.8,2,1,1,1,0,1,1,2,1,8,50.0,7.0,43.75,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,10.0,62.5,3.47,174775.0,EUR,606405.0,18.0,16.0,1.0,,,,,,True,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report's details about the vocational training outcomes and stakeholder involvement.",3.47,174775.0,EUR,606405.0,18.0,,,,0.0,,,,True,False,False,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text mentions that some benefits can only in part be attributed to Casa Abraham. Other fields remain null due to lack of explicit data in the text."
347,evaluation-of-four-recovery-communities-across-england-interim-report-summary,Reports Database:Evaluation of Four Recovery Communities across England: Interim Report Summary,https://socialvalueuk.org/reports/evaluation-of-four-recovery-communities-across-england-interim-report-summary/,health,MEDIUM,UK,HIGH,2016.0,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,9.24,UNVERIFIED,,2,1,1,5000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,31.2,4,1,1,0,0,0,1,0,1,4,25.0,5.0,31.25,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,25.0,,,,,,4.0,,,,,,,False,False,False,"The report excerpt confirms the identification of four key outcomes across the recovery communities, supporting Agent B's extraction for 'n_outcomes'. No additional information was available to resolve other fields, which remain null.",6.61,,GBP,9.24,18.0,4.0,,,39.0,,,3.5,False,False,False,"The SROI ratio, currency, total social value, number of beneficiaries, attribution percentage, and discount rate percentage were extracted from Agent B's data as they were supported by the text. The text did not provide information on investment amount, number of stakeholder groups, deadweight percentage, drop-off percentage, or displacement percentage, so these remain null. Sensitivity analysis, proxy sources, and materiality assessment were confirmed as false by both agents."
266,social-return-on-investment-report-the-yss-worcestershire-young-carers-project,Reports Database:Social Return on Investment Report: The YSS Worcestershire Young Carers’ Project,https://socialvalueuk.org/reports/social-return-on-investment-report-the-yss-worcestershire-young-carers-project/,housing,MEDIUM,UK,LOW,2013.0,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,8.69,VERIFIED,"cost £10,000",7,1,1,5000,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,8.0,50.0,2,1,1,0,0,1,1,0,1,5,31.25,8.0,50.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,37.5,8.69,121733.0,GBP,,224.0,7.0,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,8.69,121733.0,GBP,1057775.0,224.0,,,,40.0,50.0,,,False,True,False,A and B agree — no reconciliation needed.
4,north-ayrshire-fab-pad-project,Reports Database:North Ayrshire Fab Pad Project,https://socialvalueuk.org/reports/north-ayrshire-fab-pad-project/,housing,MEDIUM,UK,MEDIUM,2007.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.38,VERIFIED,"investment of 
£8.38",6,1,1,5000,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,37.5,3,1,2,1,1,1,0,0,1,7,43.75,6.0,37.5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,37.5,8.38,,,711788.0,37.0,16.0,5.0,,,,,,False,False,True,"The number of beneficiaries, outcomes, and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report details. No further uncertainties remain.",8.38,0.0,GBP,711788.0,0.0,16.0,0.0,10.0,40.0,16.0,,,False,False,False,A and B agree — no reconciliation needed.
1,subliminal-directions-social-return-on-investment-report,Reports Database:Subliminal Directions Social Return on Investment Report,https://socialvalueuk.org/reports/subliminal-directions-social-return-on-investment-report/,employment,MEDIUM,UK,MEDIUM,2007.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.27,VERIFIED,investment of £8.27,6,1,1,5000,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,10.0,62.5,4,1,1,1,1,1,1,1,1,8,50.0,10.0,62.5,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,43.75,8.27,,,91078.0,8.0,7.0,5.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 5 based on Agent B's extraction, which aligns with the report's description of stakeholders including internal and external groups. No additional information was available to determine values for investment amount, currency, or other percentage fields.",8.27,11000.0,GBP,91078.0,8.0,7.0,5.0,10.0,26.0,12.5,0.0,3.5,True,False,False,"The displacement percentage was set to 0.0 based on the definition provided in the text, which suggests that displacement was considered but not applicable in this case. No explicit mention of displacement percentage was found in the text, leading to the resolution in favor of Agent B's extraction."
53,craft-cafe-sroi-evaluation,Reports Database:Craft Cafe SROI Evaluation,https://socialvalueuk.org/reports/craft-cafe-sroi-evaluation/,arts_culture,MEDIUM,UK,HIGH,2011.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.27,UNVERIFIED,Investment of £8.27,3,1,1,5000,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,11.0,68.8,2,0,1,0,0,0,1,1,1,4,25.0,11.0,68.75,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,25.0,,,,,72.0,6.0,3.0,,,,,,True,False,False,The number of outcomes and stakeholder groups were confirmed as 6 and 3 respectively based on Agent B's extraction. No additional information was available to determine values for other financial metrics or percentages.,8.27,696569.48,GBP,612350.48,72.0,10.0,4.0,17.0,19.0,,0.0,3.5,True,False,False,"The number of outcomes was confirmed as 10 based on the text. Attribution percentage was resolved to 19% as it was explicitly mentioned in the text. Discount rate percentage was confirmed as 3.5% based on Agent B's extraction, which aligns with typical SROI reporting. No information was found to resolve the drop-off percentage."
112,integrating-adaptation-into-redd-potential-impacts-and-social-return-on-investment-in-setulang-malinau-district-indonesia,Reports Database:Integrating Adaptation into REDD+ : Potential impacts and social return on investme,https://socialvalueuk.org/reports/integrating-adaptation-into-redd-potential-impacts-and-social-return-on-investment-in-setulang-malinau-district-indonesia/,environment,MEDIUM,Indonesia,MEDIUM,2013.0,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,8.1,VERIFIED,"investment 

8.1",9,1,1,5000,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,31.2,1,1,1,0,0,0,0,0,0,2,12.5,5.0,31.25,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.
11,food-connect-sydney-forecast-sroi-report,Reports Database:Food Connect Sydney Forecast SROI Report,https://socialvalueuk.org/reports/food-connect-sydney-forecast-sroi-report/,arts_culture,MEDIUM,Australia,HIGH,2011.0,explicit_pattern,HIGH,Forecast,conflict_resolved,LOW,0,0,7.96,VERIFIED,"Total Investment 

$185,000",13,1,1,5000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,25.0,3,1,1,1,0,1,1,0,1,6,37.5,4.0,25.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,7.96,185000.0,AUD,1472791.0,750.0,5.0,5.0,,,,,,False,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report excerpt indicating 750 subscribers and 5 stakeholder groups. No further uncertainties remain.",7.96,185000.0,AUD,1472791.0,240.0,,5.0,75.0,0.0,0.0,0.0,4.75,False,False,False,"The attribution percentage was set to 0.0 based on the text indicating that the outcome is completely a result of the activity and no other programs or organisations contributed. There is no explicit mention of attribution in the text, but the methodology section suggests this interpretation."
372,the-social-value-of-carmichael-centre-2,Reports Database:The Social Value of Carmichael Centre,https://socialvalueuk.org/reports/the-social-value-of-carmichael-centre-2/,health,LOW,Ireland,MEDIUM,2014.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,7.1,VERIFIED,"Inputs 
4.2",6,1,1,5000,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,14.0,87.5,2,1,1,0,0,0,0,0,0,2,12.5,14.0,87.5,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,37.5,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,2.06,,,,,,3.0,25.0,50.0,,,,True,False,False,The attribution percentage was set to 50% based on the text indicating that attribution and deadweight were split equally. No additional information was found to support the 40% figure provided by Agent A.
58,sunderland-xl-youth-villages-sroi-evaluation,Reports Database:Sunderland XL Youth Villages SROI Evaluation,https://socialvalueuk.org/reports/sunderland-xl-youth-villages-sroi-evaluation/,housing,LOW,UK,MEDIUM,2011.0,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,6.83,VERIFIED,,12,1,1,3108,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,14.0,87.5,2,1,1,0,0,0,0,1,1,4,25.0,14.0,87.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,62.5,4.95,,GBP,,,,6.0,,,,,,True,False,False,"The number of stakeholder groups was determined to be 6 based on Agent B's extraction, which aligns with the report's content listing multiple stakeholders. No further uncertainties were identified.",4.95,,GBP,,,,,,0.0,,,,True,False,False,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text did not provide explicit information to confirm or refute this value. Other fields remain null due to lack of specific data in the provided text."
75,cufa-sroi-report,Reports Database:CUFA SROI Report,https://socialvalueuk.org/reports/cufa-sroi-report/,education,LOW,Cambodia,MEDIUM,2011.0,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,6.81,VERIFIED,,14,1,1,5000,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,9.0,56.2,1,1,1,0,0,0,1,0,0,3,18.75,9.0,56.25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,37.5,5.13,1974758.0,USD,10141570.0,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,1.0,683597.0,AUD,683597.0,260.0,1300.0,3.0,0.0,0.0,0.0,0.0,3.5,False,False,False,"Agent B's data is consistent with the text, which states a $1 value created for each $1 invested, supporting the SROI ratio of 1.0. The total social value matches the investment amount, and the number of beneficiaries and outcomes are explicitly mentioned in the text. Agent A's null values are likely due to missing or overlooked information."
374,community-first-moray-sroi-analysis,Reports Database:Community First (Moray) SROI Analysis,https://socialvalueuk.org/reports/community-first-moray-sroi-analysis/,disability,LOW,UK,HIGH,2007.0,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,6.45,VERIFIED,"investment of £44,133,",33,1,1,5000,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,10.0,62.5,3,1,1,0,1,1,1,0,1,6,37.5,10.0,62.5,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,37.5,6.45,44133.0,GBP,289515.0,5.0,10.0,5.0,,,,,,True,False,False,"The number of beneficiaries and outcomes were confirmed based on Agent B's extraction, as Agent A did not provide values for these fields.",6.45,44133.0,GBP,284515.0,,,6.0,30.0,10.0,,1.0,3.5,True,False,False,A and B agree — no reconciliation needed.
142,a-balanced-family,Reports Database:The social return on investment of a coaching course for (ex) convict mums,https://socialvalueuk.org/reports/a-balanced-family/,health,LOW,UK,LOW,2014.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,6.2,VERIFIED,"investment 

6.1",10,1,1,5000,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,11.0,68.8,1,0,1,0,0,1,0,1,0,3,18.75,11.0,68.75,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,37.5,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,3.5,,EUR,,128.0,,,29.0,33.0,50.0,0.0,3.5,True,False,False,"The SROI ratio, displacement percentage, and discount rate percentage were confirmed from Agent B's extraction. Agent A did not provide these values, but the text supports Agent B's extraction. No additional information was found in the text to resolve the null values for investment amount, total social value, number of outcomes, and number of stakeholder groups."
32,measuring-the-sroi-of-stage-3-adaptations-and-very-sheltered-housing,Reports Database:Measuring the SROI of Stage 3 Adaptations and Very Sheltered Housing,https://socialvalueuk.org/reports/measuring-the-sroi-of-stage-3-adaptations-and-very-sheltered-housing/,housing,MEDIUM,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,6.0,UNVERIFIED,"cost of £2,800",2,1,1,5000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,37.5,3,1,1,0,0,0,0,0,0,2,12.5,6.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.5,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,3.5,,,,,,,,50.0,,,3.5,True,True,False,"The SROI ratio was confirmed as 3.5 based on Agent B's extraction, which aligns with the text's mention of a 3.5% discount rate. Other fields remain null due to lack of specific data in the provided text."
103,traveller-womens-community-development-programme-a-social-return-on-investment-sroi-evaluation,Reports Database:Traveller Women’s Community Development Programme: A Social Return on Investment (S,https://socialvalueuk.org/reports/traveller-womens-community-development-programme-a-social-return-on-investment-sroi-evaluation/,education,MEDIUM,Ireland,MEDIUM,2011.0,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,5.6,UNVERIFIED,investment of £1,4,1,1,5000,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,7.0,43.8,2,1,1,1,0,1,1,1,1,7,43.75,7.0,43.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,18.75,6.59,18929.0,GBP,124797.75,25.0,,,25.0,,,,,False,False,False,"The number of beneficiaries was determined to be 25 based on Agent B's extraction, which aligns with the report's mention of 25% of participants moving into work. No other discrepancies were noted.",6.59,18929.0,GBP,124797.75,8.0,,,0.0,13.0,20.0,0.0,,True,False,False,The displacement percentage was set to 0.0 based on the text indicating low displacement due to the nature of the job roles and the preference for employing individuals from a Traveller background. No explicit discount rate percentage was provided in the text.
